b'sampleId',group
RMD264,MDP
RMD265,MDP
RMD266,MDP
RMD267,MDP
RMD268,MDP
RMD269,MDP
RMD270,MDP
RMD271,MDP
RMD272,MDP
RMD273,MDP
RMD274,MDP
RMD275,MDP
RMD276,MDP
RMD277,MDP
RMD278,MDP
RMD279,MDP
RMD280,MDP
RMD281,MDP
RMD282,MDP
RMD283,MDP
RMD284,MDP
RMD285,MDP
RMD286,MDP
RMD287,MDP
RMD288,MDP
RMD289,MDP
RMD290,MDP
RMD291,MDP
RMD292,MDP
RMD293,MDP
RMD294,MDP
RMD295,MDP
RMD296,MDP
RMD297,MDP
RMD298,MDP
RMD299,MDP
RMD300,MDP
RMD301,MDP
RMD302,MDP
RMD303,MDP
RMD304,MDP
RMD305,MDP
RMD306,MDP
RMD307,MDP
RMD308,MDP
RMD309,MDP
RMD310,MDP
RMD311,MDP
RMD312,MDP
RMD313,MDP
RMD314,MDP
RMD315,MDP
RMD316,MDP
RMD317,MDP
RMD318,MDP
RMD319,MDP
RMD320,MDP
RMD321,MDP
RMD322,MDP
RMD072,CDP
RMD073,CDP
RMD074,CDP
RMD075,CDP
RMD076,CDP
RMD077,CDP
RMD078,CDP
RMD079,CDP
RMD080,CDP
RMD081,CDP
RMD082,CDP
RMD083,CDP
RMD084,CDP
RMD085,CDP
RMD086,CDP
RMD087,CDP
RMD088,CDP
RMD089,CDP
RMD090,CDP
RMD091,CDP
RMD092,CDP
RMD093,CDP
RMD094,CDP
RMD095,CDP
RMD096,CDP
RMD097,CDP
RMD098,CDP
RMD099,CDP
RMD100,CDP
RMD101,CDP
RMD102,CDP
RMD103,CDP
RMD104,CDP
RMD105,CDP
RMD106,CDP
RMD107,CDP
RMD108,CDP
RMD109,CDP
RMD110,CDP
RMD111,CDP
RMD112,CDP
RMD113,CDP
RMD114,CDP
RMD115,CDP
RMD116,CDP
RMD117,CDP
RMD118,CDP
RMD119,CDP
RMD120,CDP
RMD121,CDP
RMD122,CDP
RMD123,CDP
RMD124,CDP
RMD125,CDP
RMD126,CDP
RMD127,CDP
RMD128,CDP
RMD129,CDP
RMD130,CDP
RMD131,CDP
RMD132,CDP
RMD133,CDP
RMD134,CDP
RMD135,CDP
RMD136,CDP
RMD137,CDP
RMD138,CDP
RMD139,CDP
RMD140,CDP
RMD141,CDP
RMD142,CDP
RMD143,CDP
RMD144,CDP
RMD145,CDP
RMD146,CDP
RMD147,CDP
RMD148,CDP
RMD149,CDP
RMD150,CDP
RMD151,CDP
RMD152,CDP
RMD153,CDP
RMD154,CDP
RMD155,CDP
RMD156,CDP
RMD157,CDP
RMD158,CDP
RMD159,CDP
RMD160,CDP
RMD161,CDP
RMD162,CDP
RMD163,CDP
RMD164,CDP
RMD165,CDP
RMD166,CDP
RMD167,CDP
RMD168,PreDC
RMD169,PreDC
RMD170,PreDC
RMD171,PreDC
RMD172,PreDC
RMD173,PreDC
RMD174,PreDC
RMD175,PreDC
RMD176,PreDC
RMD177,PreDC
RMD178,PreDC
RMD179,PreDC
RMD180,PreDC
RMD181,PreDC
RMD182,PreDC
RMD183,PreDC
RMD184,PreDC
RMD185,PreDC
RMD186,PreDC
RMD187,PreDC
RMD188,PreDC
RMD189,PreDC
RMD190,PreDC
RMD191,PreDC
RMD192,PreDC
RMD193,PreDC
RMD194,PreDC
RMD195,PreDC
RMD196,PreDC
RMD197,PreDC
RMD198,PreDC
RMD199,PreDC
RMD200,PreDC
RMD201,PreDC
RMD202,PreDC
RMD203,PreDC
RMD204,PreDC
RMD205,PreDC
RMD206,PreDC
RMD207,PreDC
RMD208,PreDC
RMD209,PreDC
RMD210,PreDC
RMD211,PreDC
RMD212,PreDC
RMD213,PreDC
RMD214,PreDC
RMD215,PreDC
RMD216,PreDC
RMD217,PreDC
RMD218,PreDC
RMD219,PreDC
RMD220,PreDC
RMD221,PreDC
RMD222,PreDC
RMD223,PreDC
RMD224,PreDC
RMD225,PreDC
RMD226,PreDC
RMD227,PreDC
RMD228,PreDC
RMD229,PreDC
RMD230,PreDC
RMD231,PreDC
RMD232,PreDC
RMD233,PreDC
RMD234,PreDC
RMD235,PreDC
RMD236,PreDC
RMD237,PreDC
RMD238,PreDC
RMD239,PreDC
RMD240,PreDC
RMD241,PreDC
RMD242,PreDC
RMD243,PreDC
RMD244,PreDC
RMD245,PreDC
RMD246,PreDC
RMD247,PreDC
RMD248,PreDC
RMD249,PreDC
RMD250,PreDC
RMD251,PreDC
RMD252,PreDC
RMD253,PreDC
RMD254,PreDC
RMD255,PreDC
RMD256,PreDC
RMD257,PreDC
RMD258,PreDC
RMD259,PreDC
RMD260,PreDC
RMD261,PreDC
RMD262,PreDC
RMD263,PreDC
